"행정구역","2026년04월_거주자_총인구수","2026년04월_거주자_연령구간인구수","2026년04월_거주자_0~9세","2026년04월_거주자_10~19세","2026년04월_거주자_20~29세","2026년04월_거주자_30~39세","2026년04월_거주자_40~49세","2026년04월_거주자_50~59세","2026년04월_거주자_60~69세","2026년04월_거주자_70~79세","2026년04월_거주자_80~89세","2026년04월_거주자_90~99세","2026년04월_거주자_100세 이상","2026년04월_남_거주자_총인구수","2026년04월_남_거주자_연령구간인구수","2026년04월_남_거주자_0~9세","2026년04월_남_거주자_10~19세","2026년04월_남_거주자_20~29세","2026년04월_남_거주자_30~39세","2026년04월_남_거주자_40~49세","2026년04월_남_거주자_50~59세","2026년04월_남_거주자_60~69세","2026년04월_남_거주자_70~79세","2026년04월_남_거주자_80~89세","2026년04월_남_거주자_90~99세","2026년04월_남_거주자_100세 이상","2026년04월_여_거주자_총인구수","2026년04월_여_거주자_연령구간인구수","2026년04월_여_거주자_0~9세","2026년04월_여_거주자_10~19세","2026년04월_여_거주자_20~29세","2026년04월_여_거주자_30~39세","2026년04월_여_거주자_40~49세","2026년04월_여_거주자_50~59세","2026년04월_여_거주자_60~69세","2026년04월_여_거주자_70~79세","2026년04월_여_거주자_80~89세","2026년04월_여_거주자_90~99세","2026년04월_여_거주자_100세 이상"
"서울특별시  (1100000000)","9,233,066","9,233,066","455,285","717,167","1,235,592","1,459,863","1,345,085","1,447,146","1,304,872","839,832","369,461","57,418","1,345","4,444,168","4,444,168","233,819","365,427","576,775","728,870","664,445","710,420","618,883","378,109","150,671","16,481","268","4,788,898","4,788,898","221,466","351,740","658,817","730,993","680,640","736,726","685,989","461,723","218,790","40,937","1,077"
"서울특별시 종로구 (1111000000)","135,081","135,081","5,005","9,149","19,929","19,758","17,809","22,169","20,614","12,593","6,801","1,226","28","64,581","64,581","2,568","4,450","9,228","9,845","8,522","10,838","10,242","5,822","2,679","379","8","70,500","70,500","2,437","4,699","10,701","9,913","9,287","11,331","10,372","6,771","4,122","847","20"
"서울특별시 중구 (1114000000)","116,427","116,427","4,840","5,812","15,478","21,115","15,930","17,416","17,508","11,560","5,727","1,022","19","55,851","55,851","2,471","2,904","6,886","10,523","7,966","8,738","8,620","5,308","2,164","268","3","60,576","60,576","2,369","2,908","8,592","10,592","7,964","8,678","8,888","6,252","3,563","754","16"
"서울특별시 용산구 (1117000000)","197,183","197,183","9,732","12,542","25,637","36,652","28,364","30,798","27,371","16,024","8,408","1,605","50","93,631","93,631","4,930","6,390","11,300","17,797","13,984","14,912","13,366","7,258","3,197","482","15","103,552","103,552","4,802","6,152","14,337","18,855","14,380","15,886","14,005","8,766","5,211","1,123","35"
"서울특별시 성동구 (1120000000)","272,909","272,909","15,623","17,247","37,429","48,158","39,146","42,188","38,055","22,549","10,850","1,637","27","131,566","131,566","8,020","8,452","17,853","23,635","19,645","20,582","18,586","10,155","4,197","435","6","141,343","141,343","7,603","8,795","19,576","24,523","19,501","21,606","19,469","12,394","6,653","1,202","21"
"서울특별시 광진구 (1121500000)","328,723","328,723","13,332","22,879","54,217","56,692","45,399","50,060","45,442","26,979","11,827","1,857","39","157,183","157,183","6,819","11,522","24,735","28,149","22,148","24,258","21,830","12,250","4,938","523","11","171,540","171,540","6,513","11,357","29,482","28,543","23,251","25,802","23,612","14,729","6,889","1,334","28"
"서울특별시 동대문구 (1123000000)","349,491","349,491","17,788","23,387","55,361","55,382","47,859","52,084","48,508","31,707","15,171","2,194","50","170,129","170,129","9,090","11,791","25,860","28,072","24,446","26,126","23,718","14,347","6,016","653","10","179,362","179,362","8,698","11,596","29,501","27,310","23,413","25,958","24,790","17,360","9,155","1,541","40"
"서울특별시 중랑구 (1126000000)","374,803","374,803","16,261","22,944","44,270","58,894","50,015","60,639","64,033","38,815","16,513","2,364","55","182,748","182,748","8,272","11,784","20,777","29,967","26,007","29,851","30,980","17,786","6,677","639","8","192,055","192,055","7,989","11,160","23,493","28,927","24,008","30,788","33,053","21,029","9,836","1,725","47"
"서울특별시 성북구 (1129000000)","419,853","419,853","21,156","34,165","62,064","56,723","58,753","69,755","58,049","37,658","18,595","2,874","61","200,303","200,303","10,929","17,103","28,840","28,330","29,006","34,134","27,326","16,541","7,266","816","12","219,550","219,550","10,227","17,062","33,224","28,393","29,747","35,621","30,723","21,117","11,329","2,058","49"
"서울특별시 강북구 (1130500000)","276,525","276,525","9,380","17,802","33,634","34,104","35,460","47,743","47,317","32,733","16,162","2,147","43","132,752","132,752","4,774","8,999","15,511","17,854","18,509","23,590","22,489","14,126","6,252","640","8","143,773","143,773","4,606","8,803","18,123","16,250","16,951","24,153","24,828","18,607","9,910","1,507","35"
